12;The_majority_of_practical_machine_learning;0.782;0.0
12;supervised_learning;0.782;0.0
13;you;0.898;0.0
13;an_algorithm_to_learn_the_mapping_function_from_the_input_to_the_output;0.898;0.0
13;the_mapping_function;0.781;0.0
13;the_input;0.781;0.0
13;you;0.679;0.0
13;input_variables_x_and_an_output_variable_Y;0.679;0.0
27;The_most_widely_used_learning_algorithms;0.567;0.0
27;nearest_neighbor_algorithm;0.567;0.0
29;Supervised_learning;0.935;0.0
29;machine_learning_algorithm_that_uses_a_known_dataset;0.935;0.0
29;a_type_of_machine_learning_algorithm;0.894;0.0
29;the_training_dataset_to_make_predictions;0.894;0.0
29;Supervised_learning;0.768;0.0
29;a_type_of_machine_learning_algorithm;0.768;0.0
29;a_known_dataset;0.62;0.0
29;machine_learning_algorithm;0.62;0.0
30;The_training_dataset;0.782;0.0
30;input_data_and_response_values;0.782;0.0
31;the_supervised_learning_algorithm;0.803;0.0
31;a_model_that_can_make_predictions_of_the_response_values_for_a_new_dataset;0.803;0.0
31;predictions_of_the_response_values;0.708;0.0
31;a_new_dataset;0.708;0.0
31;the_supervised_learning_algorithm;0.456;0.0
31;it;0.456;0.0
32;A_test_dataset;0.761;0.0
32;the_model;0.761;0.0
33;larger_training_datasets;0.762;0.0
33;models;0.762;0.0
34;we;0.68;0.0
34;most_of_the_data_science_pipeline)[enabler=that_I_instruct;0.68;0.0
34;we;0.372;0.0
34;the_data_science_course)[enabler=that_I_instruct;0.372;0.0
35;we;0.689;0.0
35;supervised_learning;0.689;0.0
35;we;0.604;0.0
35;the_algorithms;0.604;0.0
